date,weekday_num,temp,slp,wdsp,collisions
2014-01-26,0,26.8,1004.7,17.8,365.0
2014-01-27,1,38.8,1008.0,12.3,402.0
2014-01-28,2,22.2,1020.6,10.7,414.0
2014-01-29,3,20.3,1021.2,8.1,351.0
2014-01-30,4,22.0,1027.2,8.1,530.0
2014-01-31,5,33.7,1020.9,9.1,463.0
2014-02-01,6,35.6,1024.8,4.8,385.0
2014-02-02,0,39.3,1016.5,8.7,239.0
2014-02-03,1,36.5,1018.2,9.1,138.0
2014-02-04,2,32.5,1027.2,7.8,488.0
2014-02-05,3,32.3,1018.9,9.2,399.0
2014-02-06,4,30.4,1018.1,11.5,439.0
2014-02-07,5,28.1,1023.2,9.0,546.0
2014-02-08,6,28.2,1023.9,8.6,239.0
2014-02-09,0,30.3,1018.7,4.9,302.0
2014-02-10,1,28.9,1015.7,9.0,229.0
2014-02-11,2,24.0,1023.8,9.2,499.0
2014-02-12,3,23.7,1030.8,10.5,503.0
2014-02-13,4,37.0,1022.3,13.4,348.0
2014-02-14,5,40.2,989.5,20.1,175.0
2014-02-15,6,35.2,1006.5,11.8,400.0
2014-02-16,0,29.8,1004.2,20.2,383.0
2014-02-17,1,24.3,1019.8,13.1,310.0
2014-02-18,2,28.2,1023.6,12.7,415.0
2014-02-19,3,35.0,1015.6,12.3,445.0
2014-02-20,4,39.6,1018.5,10.4,426.0
2014-02-21,5,42.2,1017.2,10.4,400.0
2014-02-22,6,41.4,1015.1,11.0,445.0
2014-02-23,0,42.0,1015.4,9.1,143.0
2014-02-24,1,37.5,1008.3,10.3,450.0
2014-02-25,2,27.0,1014.2,15.5,404.0
2014-02-26,3,25.8,1012.3,8.0,402.0
2014-02-27,4,24.7,1008.1,8.4,401.0
2014-02-28,5,20.3,1020.5,12.5,515.0
2014-03-01,6,24.1,1029.1,5.2,386.0
2014-03-02,0,35.1,1018.5,6.8,42.0
2014-03-03,1,27.3,1017.2,11.2,357.0
2014-03-04,2,24.8,1025.5,8.3,363.0
2014-03-05,3,29.5,1024.3,7.1,398.0
2014-03-06,4,26.3,1032.2,16.4,452.0
2014-03-07,5,29.4,1027.4,8.4,425.0
2014-03-08,6,40.3,1009.0,11.0,403.0
2014-03-09,0,35.2,1011.2,8.9,154.0
2014-03-10,1,33.5,1010.7,6.1,400.0
2014-03-11,2,41.3,1002.9,9.0,411.0
2014-03-12,3,43.4,1002.2,9.6,420.0
2014-03-13,4,32.2,990.4,14.7,417.0
2014-03-14,5,25.4,1018.4,15.1,188.0
2014-03-15,6,41.3,1011.5,12.0,362.0
2014-03-16,0,35.3,1016.5,10.7,206.0
2014-03-17,1,28.5,1018.8,14.2,429.0
2014-03-18,2,27.7,1023.7,8.7,443.0
2014-03-19,3,35.0,1025.6,9.7,419.0
2014-03-20,4,41.7,1009.6,14.9,192.0
2014-03-21,5,39.3,1010.6,14.0,245.0
2014-03-22,6,38.1,1013.6,11.2,388.0
2014-03-23,0,38.9,1013.9,9.5,358.0
2014-03-24,1,27.4,1017.9,13.4,424.0
2014-03-25,2,26.5,1019.8,4.1,396.0
2014-03-26,3,30.8,1001.4,28.0,446.0
2014-03-27,4,28.4,1022.3,18.2,431.0
2014-03-28,5,41.2,1023.4,13.7,426.0
2014-03-29,6,44.9,1021.6,10.2,322.0
2014-03-30,0,46.3,1001.5,13.8,354.0
2014-03-31,1,37.8,1005.3,21.3,441.0
2014-04-01,2,37.1,1015.3,17.6,443.0
2014-04-02,3,39.3,1019.1,5.6,423.0
2014-04-03,4,40.9,1018.5,8.4,474.0
2014-04-04,5,40.0,1019.1,7.7,487.0
2014-04-05,6,44.8,1008.7,13.8,464.0
2014-04-06,0,41.1,1017.6,12.5,391.0
2014-04-07,1,42.0,1022.6,7.4,324.0
