date,temp,slp,wdsp,gust,BRONX,BROOKLYN,MANHATTAN,QUEENS,April,August,December,February,January,July,June,March,May,November,October,September,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
2013-04-07,39.7,1025.8,9.2,,0.041666666666666664,,0.41025641025641024,0.13157894736842105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-04-08,50.0,1018.1,9.4,,0.5833333333333334,0.8392857142857143,0.41025641025641024,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-04-09,49.4,1015.9,10.7,28.0,0.9583333333333334,0.8035714285714286,0.9487179487179487,0.9473684210526315,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2013-04-10,46.5,1014.1,8.8,17.1,0.375,0.8035714285714286,0.9230769230769231,0.8157894736842105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013-04-11,46.2,1013.7,10.0,26.0,0.5,0.4107142857142857,0.3076923076923077,0.5789473684210527,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-04-12,43.6,1018.6,13.8,35.9,,,,0.631578947368421,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013-04-13,44.4,1008.2,12.9,33.0,,0.26785714285714285,0.7692307692307693,0.868421052631579,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2013-04-14,46.1,1015.5,7.7,,0.3333333333333333,0.125,0.5128205128205128,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-04-15,46.1,1026.0,8.1,,0.5416666666666666,1.0,0.46153846153846156,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-04-16,46.0,1028.7,9.3,,0.7916666666666666,0.5,1.0,0.4473684210526316,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2013-04-17,52.1,1021.9,11.0,22.9,0.6666666666666666,0.10714285714285714,0.8461538461538461,0.42105263157894735,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013-04-18,46.5,1028.1,8.8,24.1,0.375,0.48214285714285715,0.8974358974358975,0.47368421052631576,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-04-19,52.6,1018.1,12.5,29.9,0.9583333333333334,0.5892857142857143,0.717948717948718,0.13157894736842105,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013-04-20,52.7,1012.4,15.2,39.0,0.7083333333333334,0.26785714285714285,0.6410256410256411,0.631578947368421,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2013-04-21,45.1,1029.4,11.7,22.0,0.625,0.07142857142857142,,0.2894736842105263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-04-22,43.0,1037.8,11.3,25.1,0.625,0.5714285714285714,0.6923076923076923,0.6578947368421053,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-04-23,44.6,1026.9,15.0,28.9,0.6666666666666666,0.30357142857142855,0.48717948717948717,0.18421052631578946,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2013-04-24,47.5,1012.9,19.2,36.9,0.3333333333333333,0.8035714285714286,0.5384615384615384,0.8947368421052632,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013-04-25,50.8,1017.9,10.4,20.0,1.0,0.7321428571428571,0.3333333333333333,0.7368421052631579,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
