date,temp,slp,wdsp,April,August,December,February,January,July,June,March,May,November,October,September,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,collisions
2013-06-24,66.8,1016.0,12.1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,539.0
2013-06-25,69.7,1012.8,10.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,501.0
2013-06-26,69.5,1008.6,9.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,492.0
2013-06-27,65.5,1010.0,5.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,475.0
2013-06-28,66.1,1004.7,12.9,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,471.0
2013-06-29,66.2,1004.0,13.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,463.0
2013-06-30,65.4,1012.1,8.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,154.0
2013-07-01,66.7,1017.0,10.4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,341.0
2013-07-02,67.7,1022.2,9.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,470.0
2013-07-03,68.7,1024.1,9.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,489.0
2013-07-04,69.8,1023.5,11.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,176.0
2013-07-05,71.6,1021.6,12.4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,459.0
2013-07-06,73.0,1018.5,13.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,238.0
2013-07-07,74.4,1016.3,9.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,391.0
2013-07-08,72.6,1015.5,10.7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,474.0
2013-07-09,72.7,1018.0,7.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,449.0
2013-07-10,71.1,1015.5,7.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,330.0
2013-07-11,71.8,1011.6,9.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,350.0
2013-07-12,69.4,1015.9,6.7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,482.0
2013-07-13,67.9,1024.4,6.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,443.0
2013-07-14,72.9,1025.1,5.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,276.0
2013-07-15,76.3,1021.6,5.7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,459.0
2013-07-16,77.4,1019.6,7.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,451.0
2013-07-17,72.9,1020.8,5.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,262.0
2013-07-18,75.6,1016.6,6.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,342.0
2013-07-19,73.9,1013.4,9.6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,317.0
2013-07-20,74.5,1008.8,11.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,434.0
2013-07-21,72.8,1012.6,5.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,305.0
2013-07-22,68.3,1015.1,5.1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,468.0
2013-07-23,72.1,1007.1,8.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,469.0
2013-07-24,74.9,1006.7,8.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,455.0
2013-07-25,67.7,1014.3,13.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,419.0
2013-07-26,66.1,1012.2,15.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,345.0
2013-07-27,69.1,1018.0,8.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,428.0
2013-07-28,69.8,1015.8,6.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,288.0
2013-07-29,69.2,1017.1,5.3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,484.0
2013-07-30,71.2,1018.0,7.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,472.0
2013-07-31,70.6,1019.3,6.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,448.0
2013-08-01,68.9,1016.5,5.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,193.0
